,0
1250,"[('Slender: The Arrival', 0.188), ('Racecraft', 0.164), ('Resident Evil 6 / Biohazard 6', 0.149), ('Brawlhalla', 0.147), ('Furi', 0.14)]"
22200,"[('Zeno Clash 2', 0.221), ('Warhammer: End Times - Vermintide', 0.174), ('Wolfenstein: The New Order', 0.171), (""Dragon's Dogma: Dark Arisen"", 0.151), ('Proteus', 0.142)]"
227300,"[('One Way Heroics', 0.173), ('Cities XL Platinum', 0.151), ('Spellsworn', 0.137), ('Off-Road Drive', 0.134), ('T.E.C. 3001', 0.127)]"
239030,"[('Unholy Heights', 0.081), ('Bloody Good Time', 0.08), ('Gone Home', 0.071), ('Ballistic Overkill', 0.067), ('LogicBots', 0.067)]"
248820,"[('Magicite', 0.249), ('Hero Siege', 0.209), ('Rogue Stormers', 0.209), ('Dungeon Souls', 0.175), ('Moon Hunters', 0.174)]"
370360,"[('Infinifactory', 0.209), (""Uriel's Chasm"", 0.202), (""Hack 'n' Slash"", 0.105), ('Waveform', 0.087), ('SpaceChem', 0.086)]"
237930,"[('SOMA', 0.209), ('inMomentum', 0.167), ('CrossCode', 0.163), ('Asteria', 0.153), ('Choice of Robots', 0.151)]"
263360,"[('3079 -- Block Action RPG', 0.389), (""No Man's Sky"", 0.219), ('Space Pirates and Zombies', 0.199), ('One More Dungeon', 0.189), ('Windward', 0.187)]"
107200,"[('3079 -- Block Action RPG', 0.231), ('FTL: Faster Than Light', 0.22), ('Craft The World', 0.21), ('3089 -- Futuristic Action RPG', 0.199), ('Hero Siege', 0.197)]"
224500,"[('Pixel Survivors', 0.214), ('RPG Tycoon', 0.16), ('Hardland', 0.135), ('LISA', 0.124), ('Burgers', 0.121)]"
250320,"[('The Walking Dead', 0.179), ('Worms Revolution', 0.136), ('Nyctophilia', 0.131), ('Machinarium', 0.116), ('World of Goo', 0.1)]"
20920,"[('Knights of Honor', 0.163), ('Vessel', 0.12), (""The Kings' Crusade"", 0.107), ('Shadow Harvest: Phantom Ops', 0.104), ('Guardians of Middle-earth', 0.103)]"
204100,"[('L.A. Noire', 0.301), ('Max Payne 2: The Fall of Max Payne', 0.291), ('Max Payne', 0.235), ('Max: The Curse of Brotherhood', 0.171), ('LogicBots', 0.138)]"
224600,"[('The Lord of the Rings Online™', 0.206), ('RUNNING WITH RIFLES', 0.195), ('Earth Defense Force: Insect Armageddon', 0.19), ('Villagers and Heroes', 0.147), ('Ricochet', 0.137)]"
207610,"[('The Wolf Among Us', 0.179), ('Game of Thrones - A Telltale Games Series', 0.177), ('Arena Wars 2', 0.164), (""Vernon's Legacy"", 0.156), ('Machinarium', 0.145)]"
108710,"[('BRINK', 0.17), ('Burgers', 0.123), ('The Silent Age', 0.122), ('The Witness', 0.118), (""The Last Door - Collector's Edition"", 0.116)]"
211820,"[('Destination Sol', 0.213), ('Edge of Space', 0.148), ('ROD: Revolt Of Defense', 0.14), ('Starpoint Gemini 2', 0.134), ('Capsized', 0.133)]"
730,"[('Counter-Strike: Source', 0.387), ('Counter-Strike Nexon: Zombies', 0.374), ('Counter-Strike: Condition Zero', 0.283), ('Left 4 Dead', 0.195), ('Ember Strike', 0.149)]"
550,"[('Left 4 Dead', 0.236), ('Codename CURE', 0.178), ('Sven Co-op', 0.16), ('Sniper Elite: Nazi Zombie Army', 0.154), ('Serious Sam Classic: The First Encounter', 0.151)]"
65800,"[('Commander Cool 2', 0.2), ('Sanctum', 0.179), ('Aperture Tag: The Paint Gun Testing Initiative', 0.165), ('Fieldrunners', 0.162), ('Sanctum 2', 0.158)]"
220,"[('Half-Life: Source', 0.259), ('Half-Life 2: Episode One', 0.251), ('Half-Life', 0.209), ('Scribblenauts Unlimited', 0.153), ('Left 4 Dead', 0.138)]"
304930,"[('Zombie Exodus', 0.176), ('BloodLust Shadowhunter', 0.138), ('The Forest', 0.135), ('Fallen Enchantress: Legendary Heroes', 0.12), ('Trapped Dead', 0.118)]"
4000,"[('Miracle Fly', 0.134), ('Crayon Physics Deluxe', 0.131), ('Mad Max', 0.112), ('Immortal Defense', 0.111), ('Amazing Frog?', 0.109)]"
42910,"[(""Heroine's Quest: The Herald of Ragnarok"", 0.17), ('Thea: The Awakening', 0.132), ('Ragnarok Online 2', 0.126), ('Magicka 2', 0.121), ('Chaos Reborn', 0.113)]"
232090,"[('Super House of Dead Ninjas', 0.133), ('Rogue Stormers', 0.124), ('Bloodsports.TV', 0.12), ('Cry of Fear', 0.114), ('8BitMMO', 0.105)]"
224260,"[('Tasty Blue', 0.104), ('Sniper Elite V2', 0.092), ('ArcheAge', 0.084), ('Total War Battles: KINGDOM', 0.083), ('Critter Crunch', 0.083)]"
49520,"[('Tales from the Borderlands', 0.299), ('Borderlands: The Pre-Sequel', 0.214), ('Fallout 3', 0.202), ('Pixel Hunter', 0.189), ('Borderlands', 0.147)]"
220200,"[(""Buzz Aldrin's Space Program Manager"", 0.241), ('Space Run', 0.139), ('SimplePlanes', 0.128), ('Gunslingers', 0.115), ('Space Empires V', 0.112)]"
238090,"[('Dyscourse', 0.128), ('Godus Wars', 0.127), ('Crusader Kings II', 0.126), ('Monday Night Combat', 0.126), ('Guns and Robots', 0.121)]"
242130,"[('IL-2 Sturmovik: 1946', 0.176), ('Microsoft Flight Simulator X: Steam Edition', 0.167), ('Stellar 2D', 0.147), ('Rise of Flight United', 0.14), ('You Have 10 Seconds', 0.132)]"
277430,"[('Halo: Spartan Strike', 0.496), ('Murder Miners', 0.162), ('You Have 10 Seconds 2', 0.11), ('Polarity', 0.088), ('Timberman', 0.085)]"
8870,"[('Unium', 0.136), ('The Escapists', 0.082), ('Voices from the Sea', 0.08), ('Submerged', 0.076), ('Just Deserts', 0.074)]"
368230,"[('One More Dungeon', 0.158), ('You Have to Win the Game', 0.135), ('From Dust', 0.132), ('Pox Nora', 0.126), (""Eternity's Child"", 0.119)]"
33930,"[('Operation Flashpoint: Dragon Rising', 0.135), ('Supreme Commander', 0.098), ('Princess Edge - Dragonstone', 0.075), ('Battle Islands', 0.073), ('Wargame: Red Dragon', 0.066)]"
219640,"[('Stronghold HD', 0.223), ('Medieval Engineers', 0.207), ('Besiege', 0.187), ('Rogue Shooter: The FPS Roguelike', 0.179), (""Super 3-D Noah's Ark"", 0.167)]"
287980,"[('Pixel Survivors', 0.163), ('Commandos: Behind Enemy Lines', 0.15), ('Train Fever', 0.148), ('Bus Simulator 16', 0.133), ('Cities: Skylines', 0.132)]"
208090,"[('NARUTO SHIPPUDEN: Ultimate Ninja STORM 4', 0.169), ('Death Tractor', 0.122), (""Jets'n'Guns Gold"", 0.109), ('Gear Up', 0.088), ('CRYPTARK', 0.086)]"
242700,"[('Sword of the Stars II: Enhanced Edition', 0.24), ('Space Hulk Ascension', 0.204), ('Devil May Cry® 4 Special Edition', 0.147), ('Frederic: Evil Strikes Back', 0.14), ('NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution', 0.14)]"
221100,"[('Yet Another Zombie Defense', 0.178), ('Dying Light', 0.176), ('I Am Alive', 0.171), ('The Black Death', 0.158), ('Nuclear Throne', 0.154)]"
331470,"[('FINAL FANTASY III', 0.246), ('Beach Bounce', 0.201), ('CAFE 0 ~The Drowned Mermaid~', 0.2), ('CLANNAD', 0.174), ('Sepia Tears', 0.152)]"
323370,"[('System Shock 2', 0.0), ('The Silent Age', 0.0), ('Aviary Attorney', 0.0), ('The Old Tree', 0.0), ('Grand Theft Auto: Episodes from Liberty City', 0.0)]"
